Time,H_real,H_set
06.04.21 17:06,36,40
06.04.21 17:18,"35,6",40
06.04.21 17:30,36,40
06.04.21 17:42,"36,9",40
06.04.21 17:54,"35,9",40
06.04.21 18:06,"35,9",40
06.04.21 18:18,"34,7",40
06.04.21 18:30,"40,3",40
06.04.21 18:42,40,40
06.04.21 18:54,"36,7",40
06.04.21 19:06,"34,8",40
06.04.21 19:18,"35,3",40
06.04.21 19:30,"39,2",40
06.04.21 19:42,"42,1",40
06.04.21 19:54,"39,8",40
06.04.21 20:06,"37,1",40
06.04.21 20:18,"37,8",40
06.04.21 20:30,"35,3",40
06.04.21 20:42,"36,1",40
06.04.21 20:54,"36,7",40
06.04.21 21:06,"35,1",40
06.04.21 21:18,"36,6",40
06.04.21 21:30,37,40
06.04.21 21:42,"34,9",40
06.04.21 21:54,"36,6",40
06.04.21 22:06,"37,1",40
06.04.21 22:18,"35,4",40
06.04.21 22:30,"36,4",40
06.04.21 22:42,"37,2",40
06.04.21 22:54,"36,6",40
06.04.21 23:06,"39,2",40
06.04.21 23:18,"40,7",40
06.04.21 23:30,"37,7",40
06.04.21 23:42,"35,7",40
06.04.21 23:54,"35,5",40
07.04.21 0:06,"35,5",40
07.04.21 0:18,"38,7",40
07.04.21 0:30,"41,8",40
07.04.21 0:42,"37,7",40
07.04.21 0:54,"37,2",40
07.04.21 1:06,"35,7",40
07.04.21 1:18,"36,7",40
07.04.21 1:30,"35,2",40
07.04.21 1:42,"36,3",40
07.04.21 1:54,"34,9",40
07.04.21 2:06,"35,9",40
07.04.21 2:18,"35,1",40
07.04.21 2:30,"35,6",40
07.04.21 2:42,"35,2",40
07.04.21 2:54,"35,5",40
07.04.21 3:06,"35,4",40
07.04.21 3:18,"35,5",40
07.04.21 3:30,"35,5",40
07.04.21 3:42,"35,5",40
07.04.21 3:54,"35,6",40
07.04.21 4:06,"35,6",40
07.04.21 4:18,"35,6",40
07.04.21 4:30,36,40
07.04.21 4:42,"35,3",40
07.04.21 4:54,"36,6",40
07.04.21 5:06,"35,2",40
07.04.21 5:18,"36,6",40
07.04.21 5:30,"35,1",40
07.04.21 5:42,"36,4",40
07.04.21 5:54,"35,3",40
07.04.21 6:06,"36,3",40
07.04.21 6:18,"35,5",40
07.04.21 6:30,"36,1",40
07.04.21 6:42,"35,6",40
07.04.21 6:54,"35,9",40
07.04.21 7:06,36,40
07.04.21 7:18,"35,7",40
07.04.21 7:30,"36,7",40
07.04.21 7:42,"35,5",40
07.04.21 7:54,"36,7",40
07.04.21 8:06,"37,3",40
07.04.21 8:18,"36,4",40
07.04.21 8:30,37,40
07.04.21 8:42,"37,1",40
07.04.21 8:54,"35,7",40
07.04.21 9:06,"36,6",40
07.04.21 9:18,"36,9",40
07.04.21 9:30,"36,1",40
07.04.21 9:42,36,40
07.04.21 9:54,"36,5",40
07.04.21 10:06,"37,3",40
07.04.21 10:18,"34,7",40
07.04.21 10:30,"35,3",40
07.04.21 10:42,"36,9",40
07.04.21 10:54,"37,6",40
07.04.21 11:06,"36,2",40
07.04.21 11:18,36,40
07.04.21 11:30,"36,3",40
07.04.21 11:42,"36,3",40
07.04.21 11:54,"36,4",40
07.04.21 12:06,"36,1",40
07.04.21 12:18,"36,6",40
07.04.21 12:30,"36,3",40
07.04.21 12:42,36,40
07.04.21 12:54,"35,9",40
07.04.21 13:06,"35,9",40
07.04.21 13:18,36,40
07.04.21 13:30,"35,8",40
07.04.21 13:42,"36,1",40
07.04.21 13:54,"35,8",40
07.04.21 14:06,"36,1",40
07.04.21 14:18,"36,2",40
07.04.21 14:30,"35,9",40
07.04.21 14:42,"36,4",40
07.04.21 14:54,"36,3",40
07.04.21 15:06,"36,3",40
07.04.21 15:18,"35,5",40
07.04.21 15:30,"36,7",40
07.04.21 15:42,"35,7",40
07.04.21 15:54,"36,2",40
07.04.21 16:06,"36,4",40
07.04.21 16:18,"36,1",40
07.04.21 16:30,"36,4",40
07.04.21 16:42,"36,2",40
07.04.21 16:54,"35,6",40
07.04.21 17:06,"34,6",40
07.04.21 17:18,35,40
07.04.21 17:30,"35,7",40
07.04.21 17:42,"35,5",40
07.04.21 17:54,"35,4",40
07.04.21 18:06,"35,3",40
07.04.21 18:18,"36,4",40
07.04.21 18:30,"39,7",40
07.04.21 18:42,"39,1",40
07.04.21 18:54,"45,8",40
07.04.21 19:06,"46,1",40
07.04.21 19:18,"45,6",40
07.04.21 19:30,"45,5",40
07.04.21 19:42,"43,6",40
