Time,T_real,T_set
06.04.21 17:06,"23,3",23
06.04.21 17:18,"23,3",23
06.04.21 17:30,"23,3",23
06.04.21 17:42,"23,1",23
06.04.21 17:54,"23,3",23
06.04.21 18:06,23,23
06.04.21 18:18,"22,9",23
06.04.21 18:30,"22,3",23
06.04.21 18:42,"22,9",23
06.04.21 18:54,"22,8",23
06.04.21 19:06,"22,7",23
06.04.21 19:18,"22,9",23
06.04.21 19:30,"22,2",23
06.04.21 19:42,"22,6",23
06.04.21 19:54,23,23
06.04.21 20:06,"22,5",23
06.04.21 20:18,"23,1",23
06.04.21 20:30,"22,6",23
06.04.21 20:42,"22,9",23
06.04.21 20:54,"23,1",23
06.04.21 21:06,"22,3",23
06.04.21 21:18,"22,9",23
06.04.21 21:30,"23,2",23
06.04.21 21:42,"22,4",23
06.04.21 21:54,"22,8",23
06.04.21 22:06,"23,1",23
06.04.21 22:18,"22,6",23
06.04.21 22:30,"22,7",23
06.04.21 22:42,23,23
06.04.21 22:54,23,23
06.04.21 23:06,"20,7",21
06.04.21 23:18,"20,8",21
06.04.21 23:30,"20,9",21
06.04.21 23:42,"20,5",21
06.04.21 23:54,"20,8",21
07.04.21 0:06,"20,8",21
07.04.21 0:18,"20,3",21
07.04.21 0:30,"20,8",21
07.04.21 0:42,"20,6",21
07.04.21 0:54,21,21
07.04.21 1:06,"20,5",21
07.04.21 1:18,21,21
07.04.21 1:30,"20,5",21
07.04.21 1:42,21,21
07.04.21 1:54,"20,4",21
07.04.21 2:06,21,21
07.04.21 2:18,"20,5",21
07.04.21 2:30,21,21
07.04.21 2:42,"20,5",21
07.04.21 2:54,"20,9",21
07.04.21 3:06,"20,5",21
07.04.21 3:18,"20,9",21
07.04.21 3:30,"20,6",21
07.04.21 3:42,"20,9",21
07.04.21 3:54,"20,6",21
07.04.21 4:06,"20,9",21
07.04.21 4:18,"20,8",21
07.04.21 4:30,"21,1",21
07.04.21 4:42,"20,4",21
07.04.21 4:54,"21,1",21
07.04.21 5:06,"20,4",21
07.04.21 5:18,21,21
07.04.21 5:30,"20,5",21
07.04.21 5:42,"20,9",21
07.04.21 5:54,"20,6",21
07.04.21 6:06,"20,8",21
07.04.21 6:18,"20,7",21
07.04.21 6:30,"20,7",21
07.04.21 6:42,"20,8",21
07.04.21 6:54,"20,6",21
07.04.21 7:06,21,21
07.04.21 7:18,"20,6",21
07.04.21 7:30,"21,1",21
07.04.21 7:42,"20,6",21
07.04.21 7:54,"20,8",21
07.04.21 8:06,"20,9",21
07.04.21 8:18,"21,2",21
07.04.21 8:30,"21,2",21
07.04.21 8:42,"21,1",21
07.04.21 8:54,"21,1",21
07.04.21 9:06,"21,4",21
07.04.21 9:18,"21,3",21
07.04.21 9:30,"21,2",21
07.04.21 9:42,"21,3",21
07.04.21 9:54,"21,9",21
07.04.21 10:06,22,21
07.04.21 10:18,"22,2",22
07.04.21 10:30,"22,5",22
07.04.21 10:42,"22,8",22
07.04.21 10:54,23,22
07.04.21 11:06,23,23
07.04.21 11:18,"23,2",23
07.04.21 11:30,"23,2",23
07.04.21 11:42,"23,2",23
07.04.21 11:54,"23,6",23
07.04.21 12:06,"23,1",23
07.04.21 12:18,"23,3",23
07.04.21 12:30,"23,3",23
07.04.21 12:42,"23,2",23
07.04.21 12:54,"23,2",23
07.04.21 13:06,"23,3",23
07.04.21 13:18,"23,3",23
07.04.21 13:30,"23,3",23
07.04.21 13:42,"23,3",23
07.04.21 13:54,"23,2",23
07.04.21 14:06,"23,3",23
07.04.21 14:18,"23,3",23
07.04.21 14:30,"23,1",23
07.04.21 14:42,"23,2",23
07.04.21 14:54,"23,3",23
07.04.21 15:06,"23,3",23
07.04.21 15:18,"23,2",23
07.04.21 15:30,"23,2",23
07.04.21 15:42,"23,2",23
07.04.21 15:54,"23,2",23
07.04.21 16:06,"23,2",23
07.04.21 16:18,"23,3",23
07.04.21 16:30,"23,2",23
07.04.21 16:42,"23,3",23
07.04.21 16:54,"23,3",23
07.04.21 17:06,"23,1",23
07.04.21 17:18,"23,1",23
07.04.21 17:30,23,23
07.04.21 17:42,"23,1",23
07.04.21 17:54,"23,1",23
07.04.21 18:06,"22,9",23
07.04.21 18:18,"22,7",23
07.04.21 18:30,"22,8",23
07.04.21 18:42,"22,8",23
07.04.21 18:54,"22,7",23
07.04.21 19:06,"22,8",23
07.04.21 19:18,"22,9",23
07.04.21 19:30,"22,7",23
07.04.21 19:42,"22,6",23
07.04.21 19:54,"22,8",23
07.04.21 20:06,"22,9",23
07.04.21 20:18,"22,5",23
07.04.21 20:30,23,23
07.04.21 20:42,"22,8",23
07.04.21 20:54,"22,6",23
07.04.21 21:06,23,23
07.04.21 21:18,"23,2",23
07.04.21 21:30,"22,4",23
07.04.21 21:42,"22,7",23
07.04.21 21:54,"22,9",23
07.04.21 22:06,"23,1",23
07.04.21 22:18,"23,2",23
07.04.21 22:30,"22,9",23
07.04.21 22:42,"22,3",23
07.04.21 22:54,"22,8",23
07.04.21 23:06,"21,3",21
07.04.21 23:18,"20,9",21
07.04.21 23:30,"20,6",21
07.04.21 23:42,"20,7",21
07.04.21 23:54,"20,9",21
08.04.21 0:06,"20,5",21
08.04.21 0:18,21,21
08.04.21 0:30,"20,5",21
08.04.21 0:42,"20,9",21
08.04.21 0:54,"20,6",21
08.04.21 1:06,"20,8",21
08.04.21 1:18,"20,7",21
08.04.21 1:30,"20,8",21
08.04.21 1:42,"20,7",21
08.04.21 1:54,"20,7",21
08.04.21 2:06,"20,8",21
08.04.21 2:18,"20,7",21
08.04.21 2:30,"20,8",21
08.04.21 2:42,"20,7",21
08.04.21 2:54,"20,7",21
08.04.21 3:06,"20,8",21
08.04.21 3:18,"20,7",21
08.04.21 3:30,"20,9",21
08.04.21 3:42,"20,6",21
08.04.21 3:54,21,21
08.04.21 4:06,"20,5",21
08.04.21 4:18,"21,1",21
08.04.21 4:30,"20,4",21
08.04.21 4:42,"21,1",21
08.04.21 4:54,"20,6",21
08.04.21 5:06,21,21
08.04.21 5:18,"20,9",21
08.04.21 5:30,"20,5",21
08.04.21 5:42,"21,1",21
08.04.21 5:54,"20,4",21
08.04.21 6:06,"20,9",21
08.04.21 6:18,"20,7",21
08.04.21 6:30,"20,8",21
08.04.21 6:42,"21,1",21
08.04.21 6:54,"20,5",21
08.04.21 7:06,"20,8",21
08.04.21 7:18,21,21
08.04.21 7:30,"20,4",21
08.04.21 7:42,21,21
08.04.21 7:54,"20,5",21
08.04.21 8:06,21,21
08.04.21 8:18,21,21
08.04.21 8:30,"21,1",21
08.04.21 8:42,"21,3",21
08.04.21 8:54,"21,2",21
08.04.21 9:06,"21,1",21
08.04.21 9:18,"21,4",21
08.04.21 9:30,"21,3",21
08.04.21 9:42,"21,3",21
08.04.21 9:54,"21,6",21
08.04.21 10:06,"22,2",21
08.04.21 10:18,"22,2",22
08.04.21 10:30,"22,3",22
08.04.21 10:42,"22,9",22
08.04.21 10:54,"23,1",22
08.04.21 11:06,"23,1",23
08.04.21 11:18,"23,1",23
08.04.21 11:30,"23,2",23
08.04.21 11:42,"23,4",23
08.04.21 11:54,"23,2",23
08.04.21 12:06,"23,1",23
08.04.21 12:18,"23,2",23
08.04.21 12:30,"23,2",23
08.04.21 12:42,"23,3",23
08.04.21 12:54,"23,3",23
08.04.21 13:06,"23,3",23
08.04.21 13:18,"23,2",23
08.04.21 13:30,"23,1",23
08.04.21 13:42,"23,3",23
08.04.21 13:54,"23,3",23
08.04.21 14:06,"23,3",23
08.04.21 14:18,"23,3",23
08.04.21 14:30,"23,2",23
08.04.21 14:42,"23,2",23
08.04.21 14:54,"23,2",23
08.04.21 15:06,"23,3",23
08.04.21 15:18,"23,3",23
08.04.21 15:30,"23,3",23
08.04.21 15:42,"23,2",23
08.04.21 15:54,"23,2",23
08.04.21 16:06,"23,2",23
08.04.21 16:18,"23,2",23
08.04.21 16:30,"23,3",23
08.04.21 16:42,"23,3",23
08.04.21 16:54,"23,3",23
08.04.21 17:06,"23,3",23
08.04.21 17:18,"23,3",23
08.04.21 17:30,"23,3",23
08.04.21 17:42,"23,2",23
08.04.21 17:54,"23,2",23
08.04.21 18:06,"22,8",23
08.04.21 18:18,"22,9",23
08.04.21 18:30,23,23
08.04.21 18:42,"22,2",23
08.04.21 18:54,"22,9",23
08.04.21 19:06,"22,5",23
08.04.21 19:18,23,23
08.04.21 19:30,"22,6",23
08.04.21 19:42,"22,8",23
08.04.21 19:54,"22,8",23
08.04.21 20:06,"22,7",23
08.04.21 20:18,"23,2",23
08.04.21 20:30,"23,2",23
08.04.21 20:42,"21,8",23
08.04.21 20:54,"22,5",23
08.04.21 21:06,23,23
08.04.21 21:18,"22,8",23
08.04.21 21:30,"22,5",23
08.04.21 21:42,"22,9",23
08.04.21 21:54,"23,2",23
08.04.21 22:06,"22,6",23
08.04.21 22:18,"22,7",23
08.04.21 22:30,23,23
08.04.21 22:42,"23,2",23
08.04.21 22:54,"22,5",23
08.04.21 23:06,"20,9",21
08.04.21 23:18,"20,7",21
08.04.21 23:30,"20,9",21
08.04.21 23:42,"20,3",21
08.04.21 23:54,"20,9",21
09.04.21 0:06,"20,6",21
09.04.21 0:18,"20,7",21
09.04.21 0:30,"20,9",21
09.04.21 0:42,"20,3",21
09.04.21 0:54,"20,7",21
09.04.21 1:06,"20,7",21
09.04.21 1:18,"20,9",21
09.04.21 1:30,"20,6",21
09.04.21 1:42,21,21
09.04.21 1:54,"20,2",21
09.04.21 2:06,"20,7",21
09.04.21 2:18,"20,8",21
09.04.21 2:30,"20,8",21
09.04.21 2:42,"20,7",21
09.04.21 2:54,"20,8",21
09.04.21 3:06,"20,6",21
09.04.21 3:18,"20,4",21
09.04.21 3:30,"21,1",21
09.04.21 3:42,"20,5",21
09.04.21 3:54,"21,1",21
09.04.21 4:06,"20,4",21
09.04.21 4:18,"21,1",21
09.04.21 4:30,"20,4",21
09.04.21 4:42,21,21
09.04.21 4:54,"20,3",21
09.04.21 5:06,"20,6",21
09.04.21 5:18,21,21
09.04.21 5:30,"20,5",21
09.04.21 5:42,"21,1",21
09.04.21 5:54,"20,4",21
09.04.21 6:06,21,21
09.04.21 6:18,"20,2",21
09.04.21 6:30,"20,6",21
09.04.21 6:42,21,21
09.04.21 6:54,"20,5",21
09.04.21 7:06,"21,1",21
09.04.21 7:18,"20,4",21
09.04.21 7:30,"20,9",21
09.04.21 7:42,"20,5",21
09.04.21 7:54,"20,4",21
09.04.21 8:06,21,21
09.04.21 8:18,"21,1",21
09.04.21 8:30,"21,1",21
09.04.21 8:42,"21,2",21
09.04.21 8:54,"21,3",21
09.04.21 9:06,"21,3",21
09.04.21 9:18,"21,4",21
09.04.21 9:30,"21,3",21
09.04.21 9:42,"21,5",21
09.04.21 9:54,"21,7",21
09.04.21 10:06,"21,9",21
09.04.21 10:18,"22,2",22
09.04.21 10:30,"22,5",22
09.04.21 10:42,"22,8",22
09.04.21 10:54,"23,1",22
09.04.21 11:06,"23,2",23
09.04.21 11:18,"23,2",23
09.04.21 11:30,"23,2",23
09.04.21 11:42,"23,2",23
09.04.21 11:54,"23,2",23
09.04.21 12:06,"23,2",23
09.04.21 12:18,"23,2",23
09.04.21 12:30,"23,3",23
09.04.21 12:42,"23,3",23
09.04.21 12:54,"23,3",23
09.04.21 13:06,"23,3",23
09.04.21 13:18,"23,3",23
09.04.21 13:30,"23,2",23
09.04.21 13:42,"23,2",23
09.04.21 13:54,"23,2",23
09.04.21 14:06,"23,3",23
09.04.21 14:18,"23,2",23
09.04.21 14:30,"23,3",23
09.04.21 14:42,"23,2",23
09.04.21 14:54,"23,2",23
09.04.21 15:06,"23,2",23
09.04.21 15:18,"23,2",23
09.04.21 15:30,"23,3",23
09.04.21 15:42,"23,2",23
09.04.21 15:54,"23,2",23
09.04.21 16:06,"23,2",23
09.04.21 16:18,"23,4",23
09.04.21 16:30,"23,2",23
09.04.21 16:42,"23,1",23
09.04.21 16:54,"23,3",23
09.04.21 17:06,"23,2",23
09.04.21 17:18,"23,2",23
09.04.21 17:30,"23,1",23
09.04.21 17:42,"23,2",23
09.04.21 17:54,"23,2",23
09.04.21 18:06,"22,9",23
09.04.21 18:18,"22,9",23
09.04.21 18:30,"22,3",23
09.04.21 18:42,"22,7",23
09.04.21 18:54,"22,8",23
09.04.21 19:06,"22,6",23
09.04.21 19:18,"22,3",23
09.04.21 19:30,"22,9",23
09.04.21 19:42,"22,6",23
09.04.21 19:54,"22,6",23
09.04.21 20:06,"23,1",23
09.04.21 20:18,"22,2",23
09.04.21 20:30,"22,3",23
09.04.21 20:42,"22,9",23
09.04.21 20:54,"22,8",23
09.04.21 21:06,"22,5",23
09.04.21 21:18,"22,9",23
09.04.21 21:30,"23,2",23
09.04.21 21:42,"22,3",23
09.04.21 21:54,"22,7",23
09.04.21 22:06,23,23
09.04.21 22:18,"23,1",23
09.04.21 22:30,"21,8",23
09.04.21 22:42,"22,5",23
09.04.21 22:54,"22,9",23
09.04.21 23:06,"21,2",21
09.04.21 23:18,"20,9",21
09.04.21 23:30,"20,7",21
09.04.21 23:42,"20,4",21
09.04.21 23:54,"20,6",21
10.04.21 0:06,"20,7",21
10.04.21 0:18,"20,8",21
10.04.21 0:30,"20,3",21
10.04.21 0:42,"20,5",21
10.04.21 0:54,"20,9",21
10.04.21 1:06,"20,6",21
10.04.21 1:18,"20,8",21
10.04.21 1:30,"20,1",21
10.04.21 1:42,21,21
10.04.21 1:54,"20,5",21
10.04.21 2:06,21,21
10.04.21 2:18,"20,2",21
10.04.21 2:30,"20,5",21
10.04.21 2:42,21,21
10.04.21 2:54,"20,5",21
10.04.21 3:06,"21,1",21
10.04.21 3:18,20,21
10.04.21 3:30,"20,7",21
10.04.21 3:42,"20,9",21
10.04.21 3:54,"20,6",21
10.04.21 4:06,"21,1",21
10.04.21 4:18,20,21
10.04.21 4:30,"20,8",21
